GeneID	Gene	GeneAliases	GeneType	GeneDescription	Pathways	Diseases
10010	TANK	I-TRAF|ITRAF|TRAF2	protein-coding	TRAF family member associated NFKB activator	hsa04140[Autophagy - animal]&hsa04621[NOD-like receptor signaling pathway]&hsa04622[RIG-I-like receptor signaling pathway]	.
100101267	POM121C	POM121-2	protein-coding	POM121 transmembrane nucleoporin C	hsa03013[RNA transport]	.
100129543	ZNF730	.	protein-coding	zinc finger protein 730	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
100129842	ZNF737	ZNF102	protein-coding	zinc finger protein 737	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
10013	HDAC6	CPBHM|HD6|JM21|PPP1R90	protein-coding	histone deacetylase 6	hsa05034[Alcoholism]&hsa05203[Viral carcinogenesis]	hsa05034[Alcoholism]&hsa05203[Viral carcinogenesis]
100131017	ZNF316	MZF-3	protein-coding	zinc finger protein 316	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
100131539	ZNF705E	.	protein-coding	zinc finger protein 705E	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
100131827	ZNF717	OB1|X17|ZNF838	protein-coding	zinc finger protein 717	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
100132074	FOXO6	.	protein-coding	forkhead box O6	hsa04068[FoxO signaling pathway]&hsa05131[Shigellosis]	hsa05131[Shigellosis]
100132285	KIR2DS2	183ActI|CD158J|CD158b|KIR-2DS2|NKAT-5|NKAT5|cl-49	protein-coding	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2	hsa04612[Antigen processing and presentation]&hsa04650[Natural killer cell mediated cytotoxicity]	.
100132463	CLDN24	CLDN21	protein-coding	claudin 24	hsa04514[Cell adhesion molecules (CAMs)]&hsa04530[Tight junction]&hsa04670[Leukocyte transendothelial migration]&hsa05130[Pathogenic Escherichia coli infection]&hsa05160[Hepatitis C]	hsa05130[Pathogenic Escherichia coli infection]&hsa05160[Hepatitis C]
100133941	CD24	CD24A	protein-coding	CD24 molecule	hsa04640[Hematopoietic cell lineage]	.
100134444	KCNJ18	KIR2.6|TTPP2	protein-coding	potassium inwardly rectifying channel subfamily J member 18	hsa04725[Cholinergic synapse]&hsa04921[Oxytocin signaling pathway]	.
100137049	PLA2G4B	HsT16992|cPLA2-beta	protein-coding	phospholipase A2 group IVB	hsa00564[Glycerophospholipid metabolism]&hsa00565[Ether lipid metabolism]&hsa00590[Arachidonic acid metabolism]&hsa00591[Linoleic acid metabolism]&hsa00592[alpha-Linolenic acid metabolism]&hsa01100[Metabolic pathways]&hsa04010[MAPK signaling pathway]&hsa04014[Ras signaling pathway]&hsa04072[Phospholipase D signaling pathway]&hsa04217[Necroptosis]&hsa04270[Vascular smooth muscle contraction]&hsa04370[VEGF signaling pathway]&hsa04611[Platelet activation]&hsa04664[Fc epsilon RI signaling pathway]&hsa04666[Fc gamma R-mediated phagocytosis]&hsa04724[Glutamatergic synapse]&hsa04726[Serotonergic synapse]&hsa04730[Long-term depression]&hsa04750[Inflammatory mediator regulation of TRP channels]&hsa04912[GnRH signaling pathway]&hsa04913[Ovarian steroidogenesis]&hsa04921[Oxytocin signaling pathway]&hsa05231[Choline metabolism in cancer]	hsa05231[Choline metabolism in cancer]
10014	HDAC5	HD5|NY-CO-9	protein-coding	histone deacetylase 5	hsa04371[Apelin signaling pathway]&hsa05034[Alcoholism]&hsa05203[Viral carcinogenesis]&hsa05206[MicroRNAs in cancer]	hsa05034[Alcoholism]&hsa05203[Viral carcinogenesis]&hsa05206[MicroRNAs in cancer]
10015	PDCD6IP	AIP1|ALIX|DRIP4|HP95	protein-coding	programmed cell death 6 interacting protein	hsa04144[Endocytosis]	.
100169751	RNA5S1	RN5S1	rRNA	RNA, 5S ribosomal 1	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169753	RNA5S2	RN5S2	rRNA	RNA, 5S ribosomal 2	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169754	RNA5S3	RN5S3	rRNA	RNA, 5S ribosomal 3	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169755	RNA5S4	RN5S4	rRNA	RNA, 5S ribosomal 4	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169756	RNA5S5	RN5S5	rRNA	RNA, 5S ribosomal 5	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169757	RNA5S6	RN5S6	rRNA	RNA, 5S ribosomal 6	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169758	RNA5S7	RN5S7	rRNA	RNA, 5S ribosomal 7	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169759	RNA5S8	RN5S8	rRNA	RNA, 5S ribosomal 8	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169760	RNA5S9	RN5S9	rRNA	RNA, 5S ribosomal 9	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169761	RNA5S10	RN5S10	rRNA	RNA, 5S ribosomal 10	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169762	RNA5S11	RN5S11	rRNA	RNA, 5S ribosomal 11	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169763	RNA5S12	RN5S12	rRNA	RNA, 5S ribosomal 12	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169764	RNA5S13	RN5S13	rRNA	RNA, 5S ribosomal 13	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169765	RNA5S14	RN5S14	rRNA	RNA, 5S ribosomal 14	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169766	RNA5S15	RN5S15	rRNA	RNA, 5S ribosomal 15	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169767	RNA5S16	RN5S16	rRNA	RNA, 5S ribosomal 16	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
100169768	RNA5S17	RN5S17	rRNA	RNA, 5S ribosomal 17	hsa03008[Ribosome biogenesis in eukaryotes]&hsa03010[Ribosome]	.
10018	BCL2L11	BAM|BIM|BOD	protein-coding	BCL2 like 11	hsa01521[EGFR tyrosine kinase inhibitor resistance]&hsa04068[FoxO signaling pathway]&hsa04151[PI3K-Akt signaling pathway]&hsa04210[Apoptosis]&hsa04215[Apoptosis - multiple species]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa05169[Epstein-Barr virus infection]&hsa05200[Pathways in cancer]&hsa05206[MicroRNAs in cancer]&hsa05210[Colorectal cancer]	hsa01521[EGFR tyrosine kinase inhibitor resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa05169[Epstein-Barr virus infection]&hsa05200[Pathways in cancer]&hsa05206[MicroRNAs in cancer]&hsa05210[Colorectal cancer]
10019	SH2B3	IDDM20|LNK	protein-coding	SH2B adaptor protein 3	hsa04722[Neurotrophin signaling pathway]	.
1002	CDH4	CAD4|R-CAD|RCAD	protein-coding	cadherin 4	hsa04514[Cell adhesion molecules (CAMs)]	.
10020	GNE	DMRV|GLCNE|IBM2|NM|Uae1	protein-coding	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	hsa00520[Amino sugar and nucleotide sugar metabolism]&hsa01100[Metabolic pathways]	.
10021	HCN4	SSS2	protein-coding	hyperpolarization activated cyclic nucleotide gated potassium channel 4	hsa04024[cAMP signaling pathway]&hsa04742[Taste transduction]	.
10022	INSL5	PRO182|UNQ156	protein-coding	insulin like 5	hsa04080[Neuroactive ligand-receptor interaction]&hsa04926[Relaxin signaling pathway]	.
10023	FRAT1	.	protein-coding	FRAT regulator of WNT signaling pathway 1	hsa04310[Wnt signaling pathway]&hsa05010[Alzheimer disease]&hsa05200[Pathways in cancer]&hsa05224[Breast cancer]&hsa05225[Hepatocellular carcinoma]&hsa05226[Gastric cancer]	hsa05010[Alzheimer disease]&hsa05200[Pathways in cancer]&hsa05224[Breast cancer]&hsa05225[Hepatocellular carcinoma]&hsa05226[Gastric cancer]
10025	MED16	DRIP92|THRAP5|TRAP95	protein-coding	mediator complex subunit 16	hsa04919[Thyroid hormone signaling pathway]	.
10026	PIGK	GPI8|NEDHCAS	protein-coding	phosphatidylinositol glycan anchor biosynthesis class K	hsa00563[Glycosylphosphatidylinositol (GPI)-anchor biosynthesis]&hsa01100[Metabolic pathways]	.
100271849	MEF2B	RSRFR2	protein-coding	myocyte enhancer factor 2B	hsa04022[cGMP-PKG signaling pathway]&hsa04371[Apelin signaling pathway]	.
100271927	RASA4B	.	protein-coding	RAS p21 protein activator 4B	hsa04014[Ras signaling pathway]	.
100287171	WASHC1	FAM39E|WASH|WASH1	protein-coding	WASH complex subunit 1	hsa04144[Endocytosis]	.
100287226	ZNF729	.	protein-coding	zinc finger protein 729	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
100288562	LOC100288562	.	protein-coding	putative exonuclease GOR	hsa03008[Ribosome biogenesis in eukaryotes]	.
100289462	DEFB4B	DEFB4P	protein-coding	defensin beta 4B	hsa04621[NOD-like receptor signaling pathway]&hsa04657[IL-17 signaling pathway]&hsa05150[Staphylococcus aureus infection]	hsa05150[Staphylococcus aureus infection]
100289635	ZNF605	.	protein-coding	zinc finger protein 605	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
100289678	ZNF783	.	protein-coding	zinc finger family member 783	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
1003	CDH5	7B4|CD144	protein-coding	cadherin 5	hsa04514[Cell adhesion molecules (CAMs)]&hsa04670[Leukocyte transendothelial migration]&hsa05418[Fluid shear stress and atherosclerosis]	hsa05418[Fluid shear stress and atherosclerosis]
100302238	MIR103B1	MIR103-1AS|MIRN103-1AS|hsa-mir-103-1-as	ncRNA	microRNA 103b-1	hsa05206[MicroRNAs in cancer]	hsa05206[MicroRNAs in cancer]
100302282	MIR103B2	MIR103-2-AS|MIR103-2AS|MIRN103-2AS|hsa-mir-103-2-as	ncRNA	microRNA 103b-2	hsa05206[MicroRNAs in cancer]	hsa05206[MicroRNAs in cancer]
100310812	SPDYE2B	SPDYE2L	protein-coding	speedy/RINGO cell cycle regulator family member E2B	hsa04114[Oocyte meiosis]&hsa04914[Progesterone-mediated oocyte maturation]	.
10038	PARP2	ADPRT2|ADPRTL2|ADPRTL3|ARTD2|PARP-2|pADPRT-2	protein-coding	poly(ADP-ribose) polymerase 2	hsa03410[Base excision repair]&hsa04210[Apoptosis]	.
10039	PARP3	ADPRT3|ADPRTL2|ADPRTL3|ARTD3|IRT1|PADPRT-3	protein-coding	poly(ADP-ribose) polymerase family member 3	hsa03410[Base excision repair]&hsa04210[Apoptosis]	.
100500809	MIR23C	hsa-mir-23c|mir-23c	ncRNA	microRNA 23c	hsa05206[MicroRNAs in cancer]	hsa05206[MicroRNAs in cancer]
100505767	SPDYE18	.	protein-coding	speedy/RINGO cell cycle regulator family member E18	hsa04114[Oocyte meiosis]&hsa04914[Progesterone-mediated oocyte maturation]	.
100506658	OCLN	BLCPMG|PPP1R115|PTORCH1	protein-coding	occludin	hsa04514[Cell adhesion molecules (CAMs)]&hsa04530[Tight junction]&hsa04670[Leukocyte transendothelial migration]&hsa05130[Pathogenic Escherichia coli infection]&hsa05160[Hepatitis C]	hsa05130[Pathogenic Escherichia coli infection]&hsa05160[Hepatitis C]
100506742	CASP12	CASP-12|CASP12P1	protein-coding	caspase 12 (gene/pseudogene)	hsa04141[Protein processing in endoplasmic reticulum]&hsa04210[Apoptosis]&hsa04621[NOD-like receptor signaling pathway]&hsa05010[Alzheimer disease]&hsa05014[Amyotrophic lateral sclerosis (ALS)]&hsa05020[Prion diseases]&hsa05161[Hepatitis B]	hsa05010[Alzheimer disease]&hsa05014[Amyotrophic lateral sclerosis (ALS)]&hsa05020[Prion diseases]&hsa05161[Hepatitis B]
100507436	MICA	MIC-A|PERB11.1	protein-coding	MHC class I polypeptide-related sequence A	hsa04650[Natural killer cell mediated cytotoxicity]&hsa05167[Kaposi sarcoma-associated herpesvirus infection]	hsa05167[Kaposi sarcoma-associated herpesvirus infection]
100526739	CENPS-CORT	APITD1|APITD1-CORT|CENP-S|CENPS|FAAP16|MHF1	protein-coding	CENPS-CORT readthrough	hsa03460[Fanconi anemia pathway]	.
100526760	ABHD14A-ACY1	.	protein-coding	ABHD14A-ACY1 readthrough	hsa00220[Arginine biosynthesis]&hsa01100[Metabolic pathways]&hsa01210[2-Oxocarboxylic acid metabolism]&hsa01230[Biosynthesis of amino acids]	.
100526767	RNF103-CHMP3	CGI149|CHMP3|NEDF|RNF103-VPS24|VPS24|hVps24	protein-coding	RNF103-CHMP3 readthrough	hsa04144[Endocytosis]&hsa04217[Necroptosis]	.
100526794	NT5C1B-RDH14	AIRP|NT5C1B|cN-IB|cN1B	protein-coding	NT5C1B-RDH14 readthrough	hsa00230[Purine metabolism]&hsa00240[Pyrimidine metabolism]&hsa00760[Nicotinate and nicotinamide metabolism]&hsa01100[Metabolic pathways]	.
100526842	RPL17-C18orf32	PD-1|RPL17	protein-coding	RPL17-C18orf32 readthrough	hsa03010[Ribosome]	.
100528021	ST20-MTHFS	MTHFS	protein-coding	ST20-MTHFS readthrough	hsa00670[One carbon pool by folate]&hsa01100[Metabolic pathways]	.
100528030	POC1B-GALNT4	GALNT4|GalNAc-T4	protein-coding	POC1B-GALNT4 readthrough	hsa00512[Mucin type O-glycan biosynthesis]&hsa00514[Other types of O-glycan biosynthesis]&hsa01100[Metabolic pathways]	.
100528032	KLRC4-KLRK1	.	protein-coding	KLRC4-KLRK1 readthrough	hsa04650[Natural killer cell mediated cytotoxicity]&hsa05144[Malaria]	hsa05144[Malaria]
100529063	BCL2L2-PABPN1	.	protein-coding	BCL2L2-PABPN1 readthrough	hsa03015[mRNA surveillance pathway]&hsa05164[Influenza A]	hsa05164[Influenza A]
100529097	RPL36A-HNRNPH2	.	protein-coding	RPL36A-HNRNPH2 readthrough	hsa03010[Ribosome]	.
100529215	ZNF559-ZNF177	.	protein-coding	ZNF559-ZNF177 readthrough	hsa05168[Herpes simplex virus 1 infection]	hsa05168[Herpes simplex virus 1 infection]
100529239	RPS10-NUDT3	.	protein-coding	RPS10-NUDT3 readthrough	hsa03010[Ribosome]	.
10053	AP1M2	AP1-mu2|HSMU1B|MU-1B|MU1B|mu2	protein-coding	adaptor related protein complex 1 subunit mu 2	hsa04142[Lysosome]&hsa05170[Human immunodeficiency virus 1 infection]	hsa05170[Human immunodeficiency virus 1 infection]
100532726	NDUFC2-KCTD14	.	protein-coding	NDUFC2-KCTD14 readthrough	hsa00190[Oxidative phosphorylation]&hsa01100[Metabolic pathways]&hsa04714[Thermogenesis]&hsa04723[Retrograde endocannabinoid signaling]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]	hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa05010[Alzheimer disease]&hsa05012[Parkinson disease]&hsa05016[Huntington disease]
100532731	COMMD3-BMI1	BMI1|PCGF4|RNF51	protein-coding	COMMD3-BMI1 readthrough	hsa04550[Signaling pathways regulating pluripotency of stem cells]&hsa05202[Transcriptional misregulation in cancer]&hsa05206[MicroRNAs in cancer]	hsa05202[Transcriptional misregulation in cancer]&hsa05206[MicroRNAs in cancer]
100532736	MICOS10-NBL1	C1orf151-NBL1|DAN|DAND1|MINOS1-NBL1|NBL1	protein-coding	MICOS10-NBL1 readthrough	hsa04350[TGF-beta signaling pathway]	.
100533105	C8orf44-SGK3	.	protein-coding	C8orf44-SGK3 readthrough	hsa04068[FoxO signaling pathway]&hsa04151[PI3K-Akt signaling pathway]	.
100533467	BIVM-ERCC5	ERCC5-202	protein-coding	BIVM-ERCC5 readthrough	hsa03420[Nucleotide excision repair]	.
100534599	ISY1-RAB43	ISY1	protein-coding	ISY1-RAB43 readthrough	hsa03040[Spliceosome]	.
10054	UBA2	ARX|HRIHFB2115|SAE2	protein-coding	ubiquitin like modifier activating enzyme 2	hsa04120[Ubiquitin mediated proteolysis]	.
10055	SAE1	AOS1|HSPC140|SUA1|UBLE1A	protein-coding	SUMO1 activating enzyme subunit 1	hsa04120[Ubiquitin mediated proteolysis]	.
10056	FARSB	FARSLB|FRSB|HSPC173|NEDBLLA|PheHB|PheRS|RILDBC	protein-coding	phenylalanyl-tRNA synthetase subunit beta	hsa00970[Aminoacyl-tRNA biosynthesis]	.
10057	ABCC5	ABC33|EST277145|MOAT-C|MOATC|MRP5|SMRP|pABC11	protein-coding	ATP binding cassette subfamily C member 5	hsa01523[Antifolate resistance]&hsa02010[ABC transporters]	hsa01523[Antifolate resistance]
10058	ABCB6	ABC|LAN|MTABC3|PRP|umat	protein-coding	ATP binding cassette subfamily B member 6 (Langereis blood group)	hsa02010[ABC transporters]	.
10059	DNM1L	DLP1|DRP1|DVLP|DYMPLE|EMPF|EMPF1|HDYNIV|OPA5	protein-coding	dynamin 1 like	hsa04217[Necroptosis]&hsa04621[NOD-like receptor signaling pathway]&hsa04668[TNF signaling pathway]	.
10060	ABCC9	ABC37|ATFB12|CANTU|CMD1O|SUR2	protein-coding	ATP binding cassette subfamily C member 9	hsa02010[ABC transporters]	.
10061	ABCF2	ABC28|EST133090|HUSSY-18|HUSSY18	protein-coding	ATP binding cassette subfamily F member 2	hsa05130[Pathogenic Escherichia coli infection]	hsa05130[Pathogenic Escherichia coli infection]
100616173	MIR203B	MIR3545|hsa-mir-203b	ncRNA	microRNA 203b	hsa05206[MicroRNAs in cancer]	hsa05206[MicroRNAs in cancer]
10062	NR1H3	LXR-a|LXRA|RLD-1	protein-coding	nuclear receptor subfamily 1 group H member 3	hsa03320[PPAR signaling pathway]&hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa05160[Hepatitis C]	hsa04931[Insulin resistance]&hsa04932[Non-alcoholic fatty liver disease (NAFLD)]&hsa05160[Hepatitis C]
10063	COX17	.	protein-coding	cytochrome c oxidase copper chaperone COX17	hsa00190[Oxidative phosphorylation]&hsa01100[Metabolic pathways]&hsa04714[Thermogenesis]	.
100653049	LOC100653049	.	protein-coding	keratin, type I cuticular Ha4	hsa04915[Estrogen signaling pathway]&hsa05150[Staphylococcus aureus infection]	hsa05150[Staphylococcus aureus infection]
10073	SNUPN	KPNBL|RNUT1|Snurportin1	protein-coding	snurportin 1	hsa03013[RNA transport]	.
10075	HUWE1	ARF-BP1|HECTH9|HSPC272|Ib772|LASU1|MRXST|MULE|URE-B1|UREB1	protein-coding	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1	hsa04120[Ubiquitin mediated proteolysis]	.
10084	PQBP1	MRX2|MRX55|MRXS3|MRXS8|NPW38|RENS1|SHS	protein-coding	polyglutamine binding protein 1	hsa03040[Spliceosome]	.
100861540	CYP3A7-CYP3A51P	CYP3A7|CYP3A7-3AP1|CYP3A7-CYP3AP1|CYP3A7.1L|CYPIIIA7	protein-coding	CYP3A7-CYP3A51P readthrough	hsa00140[Steroid hormone biosynthesis]&hsa00830[Retinol metabolism]&hsa01100[Metabolic pathways]&hsa05204[Chemical carcinogenesis]	hsa05204[Chemical carcinogenesis]
10090	UST	2OST	protein-coding	uronyl 2-sulfotransferase	hsa00532[Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate]	.
100913187	APOBEC3A_B	A3A|APOBEC3A	protein-coding	APOBEC3A and APOBEC3B deletion hybrid	hsa05170[Human immunodeficiency virus 1 infection]	hsa05170[Human immunodeficiency virus 1 infection]
